"table_name","col_order","column_name","data_type","is_nullable","column_default","column_comment","example_value"
"paper","1","id","character varying(64)","NO",,"论文ID (Original: paper.paper_id, ES: _source.ID)","QKC20212021082400028569"
"paper","2","wid","character varying(64)","YES",,"万方ID (Original: paper.wid, ES: _source.WID)","gxbjyxyjysj202104015"
"paper","3","doi","character varying(100)","YES",,"DOI (Original: paper.doi, ES: _source.DOI)","10.16656/j.issn.1673-4696.2021.0125"
"paper","4","nid","character varying(64)","YES",,"NID (Original: paper.nid, ES: _source.NID)","ZGSY202108005"
"paper","5","vid","character varying(64)","YES",,"VID (Original: paper.vid, ES: _source.VID)","7105496643"
"paper","6","title_zh","text","YES",,"中文标题 (Original: paper.title_zh, ES: _source.TI)","基于截短型Cap蛋白的猪圆环病毒3型间接ELISA检测方法的建立"
"paper","7","title_en","text","YES",,"英文标题 (Original: paper.title_en, ES: _source.TIE)","Status Analysis of Food Safety Risk Assessment in China"
"paper","8","title_combined","text","YES",,"标题合集 (Original: paper.title_zh_en, ES: _source.TITLE)","基于截短型Cap蛋白的猪圆环病毒3型间接ELISA检测方法的建立"
"paper","9","abstract_zh","text","YES",,"中文摘要 (Original: paper.abstract_zh, ES: _source.CAB)","为建立猪圆环病毒3型（PCV3）的血清学诊断方法,本研究构建了去除核定位序列的截短型Cap蛋白重组质粒,并进行了原核表达,纯化的重组蛋白经SDS-PAGE及Western-blot确认后,将其作为包被抗原,建立了PCV3抗体检测的间接ELISA方法。SDS-PAGE结果显示,表达的Cap重组蛋白约为39ku,Western-blot结果表明,重组蛋白具有良好的反应原性。通过方阵滴定法确定了最佳抗原包被浓度为10g/mL,最佳血清稀释度为1∶20,当血清样本D450≥0.301时,可判为PCV3抗体阳性。该方法特异性强,仅与PCV3阳性血清发生特异性反应。该方法敏感性好,对1∶240稀释的血清仍可检出阳性;该方法重复性好,批内和批间试验的变异系数分别为1.24%～3.70%和3.25%～7.28%。用建立的间接ELISA方法对72份临床猪血清进行检测,检出阳性血清22份。结果表明,基于截短型Cap蛋白建立的间接ELISA方法具有良好的特异性、敏感性及重复性,检测方法稳定可靠,为临床PCV3血清学诊断提供了一种稳定可靠的技术手段,也为PCV3流行病学调查提供了有效技术支撑。"
"paper","10","abstract_en","text","YES",,"英文摘要 (Original: paper.abstract_en, ES: _source.EAB)","Under the background of the current information age,advanced technologies represented by network technology and computer technology have been widely promoted in all walks of life,bringing many conveniences to people's production and life.With the rapid development of social technology and science and technology,in the field of communication,optical fiber communication network technology continues to innovate,and has shown particularly significant advantages in information transmission,which has played an important role in promoting social development and people's lives.To this end,this article will discuss and study the connotation characteristics and applications of optical fiber communication network transmission technology."
"paper","11","keyword_zh_str","text","YES",,"中文关键词串 (Original: paper.keyword_zh, ES: _source.CKEY)","猪圆环病毒3型;Cap蛋白;原核表达;间接ELISA"
"paper","12","keyword_en_str","text","YES",,"英文关键词串 (Original: paper.keyword_en, ES: _source.EKEY)"," optical fiber communication network transmission technology;optical wavelength division multiplexing;development trend "
"paper","13","journal_id","character varying(64)","YES",,"期刊ID (Original: paper.journal_id, ES: _source.JOUID)","J04153"
"paper","14","journal_name_zh","character varying(255)","YES",,"期刊中文名 (Original: paper.journal_zh_name, ES: _source.JOUCN)","中国兽医科学"
"paper","15","journal_name_en","character varying(255)","YES",,"期刊英文名 (Original: paper.journal_en_name, ES: _source.JOUEN)","COUNTRY AGRICULTURE FARMERS"
"paper","16","issn","character varying(50)","YES",,"ISSN (Original: paper.journal_issn, ES: _source.ISSN)","1003-6261"
"paper","17","publish_date","character varying(50)","YES",,"发表日期 (Original: paper.date, ES: _source.DATE)","2021-08-20"
"paper","18","publish_year","integer","YES",,"年份 (Original: paper.year, ES: _source.YEAR)","2021"
"paper","19","publish_quarter","integer","YES",,"季度 (Original: paper.quarter, ES: _source.QUARTER)","3"
"paper","20","year_month","character varying(20)","YES",,"发表年月 (Original: paper.year_month, ES: _source.NIANYUE)","202108"
"paper","21","volume","character varying(50)","YES",,"卷 (ES: _source.VOL)","21"
"paper","22","issue","character varying(50)","YES",,"期 (Original: paper.volume_issue, ES: _source.PER)","008"
"paper","23","page_range","character varying(50)","YES",,"页码范围 (Original: paper.page_range, ES: _source.PG)","970-975"
"paper","24","page_count","integer","YES",,"页数 (Original: paper.page_count, ES: _source.PN)","6"
"paper","25","doc_type","character varying(50)","YES","'中文期刊'::character varying","文档类型 (Original: _source.DOCTYPE)","中文期刊"
"paper","26","literature_column_zh","character varying(100)","YES",,"文献栏目中文 (Original: paper.literature_classification_zh, ES: _source.COLCN)","教学研究"
"paper","27","literature_column_en","character varying(100)","YES",,"文献栏目英文 (Original: paper.literature_classification_en, ES: _source.COLEN)","Specialist forum"
"paper","28","classification_code","character varying(100)","YES",,"分类号 (Original: paper.classification_number, ES: _source.ZCID)","S852.65"
"paper","29","fund_supported","character varying(50)","YES",,"基金支持 (Original: paper.fund_support, ES: _source.FUNDSUPPORT)","true"
"paper","30","is_core_journal","character varying(100)","YES",,"核心期刊 (Original: paper.core_journal_identifier, ES: _source.ECORE)","AJ;CA"
"paper","31","half_year","character varying(20)","YES",,"半年标识 (Original: paper.half_year, ES: _source.HALFYEAR)","2"
"paper","32","create_time","timestamp without time zone","NO","CURRENT_TIMESTAMP",,"2026-01-17T10:41:14.233505"
"paper","33","update_time","timestamp without time zone","NO","CURRENT_TIMESTAMP",,"2026-01-17T10:41:14"
"paper","34","is_deleted","boolean","NO","false",,"false"
"paper","35","etl_job_id","character varying(50)","YES",,,"ES_FULL_MIGRATE"
"paper_author_detail","1","paper_id","character varying(64)","NO",,"论文ID (Original: paper_author.paper_id)","QKW20182018090400122527"
"paper_author_detail","2","author_name","character varying(255)","NO",,"作者姓名 (Original: paper_author.name, ES: _source.AUTHORINFO.NAME)","朱广龙"
"paper_author_detail","3","author_id","character varying(64)","YES",,"作者ID (Original: paper_author.author_id, ES: _source.AUTHORINFO.AUID)","L12765194"
"paper_author_detail","4","org_name","character varying(500)","NO",,"机构名称 (Original: paper_author.org_name, ES: _source.AUTHORINFO.ORG)","江苏省扬州市江都区教师进修学校"
"paper_author_detail","5","org_name_clean","character varying(500)","YES",,"机构清洗名 (Original: paper_author.org_name_c, ES: _source.AUTHORINFO.ORGC)","江苏省扬州市江都区教师进修学校"
"paper_author_detail","6","org_id","character varying(64)","YES",,"机构ID (Original: paper_author.org_id, ES: _source.AUTHORINFO.ORGID)","O0073001"
"paper_author_detail","7","end_org_id","character varying(64)","YES",,"最终机构ID (Original: paper_author.end_org_id, ES: _source.AUTHORINFO.ENDORGID)","O0073001"
"paper_author_detail","8","org_type","character varying(100)","YES",,"机构类型 (Original: paper_author.org_type, ES: _source.AUTHORINFO.JGLX)","['GX']"
"paper_author_detail","9","org_relation","character varying(500)","YES",,"机构关系 (Original: paper_author.org_relation, ES: _source.AUTHORINFO.RELATION)","QY083281;KYN00425"
"paper_author_detail","10","sequence","integer","NO",,"排序 (Original: paper_author.seq, ES: _source.AUTHORINFO.CX)","1"
"paper_classification","1","paper_id","character varying(64)","NO",,"论文ID (Original: paper_classification_number.paper_id)","QKV20222023122600065179"
