"table_name","col_order","column_name","data_type","is_nullable","column_default","column_comment","example_value"
"fund_project","1","id","character varying(64)","NO",,"主键 (Original: project.id, ES: _source.ID)","XM0007347853"
"fund_project","2","external_id","character varying(64)","YES",,"外部ID (Original: project.f_id, ES: _source.F_ID)","7347853"
"fund_project","3","project_number","character varying(100)","YES",,"项目编号 (Original: project.project_id, ES: _source.PROJECTID)","06-04-48173"
"fund_project","4","w_id","character varying(64)","YES",,"WID (Original: project.w_id, ES: _source.WID)","KH05350350"
"fund_project","5","p_id","character varying(64)","YES",,"PID (Original: project.p_id, ES: _source.PID)","7463029"
"fund_project","6","doc_code","character varying(64)","YES",,"文献编号 (Original: project.doc_code, ES: _source.DOCCODE)","10015"
"fund_project","7","project_identify_id","character varying(100)","YES",,"项目标识 (Original: project.proidentify_id, ES: _source.PROIDENTIFYID)","EUR0007.06-04-48173"
"fund_project","8","title_zh","text","YES",,"中文标题 (Original: project.title, project.ti, ES: _source.TITLE, _source.TI)","俄罗斯淡水中心硅藻"
"fund_project","9","title_en","text","YES",,"英文标题 (Original: project.tie, ES: _source.TIE)","Centric diatoms fresh waters of Russia"
"fund_project","10","title_original","text","YES",,"原文标题 (Original: project.title_original, ES: _source.TITLEORIGINAL)","Центрические диатомовые водоросли пресных вод России"
"fund_project","11","title_short","text","YES",,"短标题 (Original: project.title_short, ES: _source.TITLESHORT)",
"fund_project","12","original_language","character varying(50)","YES",,"原文语言 (Original: project.original_lang, ES: _source.ORGINALLANG)","俄语"
"fund_project","13","project_type_std","character varying(100)","YES",,"项目类别 (Original: project.project_type_std, ES: _source.PROJECTTYPESTANDARD)","研究项目"
"fund_project","14","doc_type","character varying(50)","YES",,"文档类型 (Original: project.doctype, ES: _source.DOCTYPE)","科技项目"
"fund_project","15","project_status","character varying(50)","YES",,"项目状态 (Original: project.project_status, ES: _source.PROJECTSTATUS)","结项"
"fund_project","16","amount","character varying(100)","YES",,"经费 (Original: project.amount, ES: _source.AMOUNT)","30"
"fund_project","17","awardee_country","character varying(100)","YES",,"资助国别 (Original: project.awardee_country, ES: _source.AWARDEECOUNTRY)","日本"
"fund_project","18","awardee_country_id","character varying(50)","YES",,"资助国ID (Original: project.awardee_country_id, ES: _source.AWARDEECOUNTRYID)","46"
"fund_project","19","year","integer","YES",,"项目年度 (Original: project.year, ES: _source.YEAR)","2006"
"fund_project","20","apply_year","integer","YES",,"申请年份 (Original: project.apply_year, ES: _source.APPLYYEAR)","2006"
"fund_project","21","start_year","integer","YES",,"立项年份 (Original: project.start_year, ES: _source.STARTYEAR)","2006"
"fund_project","22","date_raw","character varying(50)","YES",,"日期 (Original: project.date, ES: _source.DATE)","2006-01-01"
"fund_project","23","apply_date","character varying(50)","YES",,"申请日期 (Original: project.app_date, ES: _source.APPDATE)","2006-01-01"
"fund_project","24","plan_start_date","character varying(50)","YES",,"计划开始 (Original: project.plan_start_date, ES: _source.PLANSTARTDATE)","2006-01-01"
"fund_project","25","plan_end_date","character varying(50)","YES",,"计划结束 (Original: project.plan_end_date, ES: _source.PLANENDDATE)","2006-12-31"
"fund_project","26","finish_date","character varying(50)","YES",,"结束日期 (Original: project.finish_date, ES: _source.FINISHDATE)","2022-11-29"
"fund_project","27","abstract_zh","text","YES",,"中文摘要 (Original: project.apply_abs, ES: _source.CAB)","中心硅藻在各类水体（湖泊、水库、河流）中的物种多样性和丰富度方面在浮游藻类中占据主导地位。俄罗斯使用20世纪50年代至90年代的国内鉴定指南对这组藻类进行鉴定。 （硅藻......，1951；苏联硅藻，1988，1992 等）或难以获得的外国硅藻（Krammer，Lange-Bertalot，1991，1992），目前与该组的现代知识不符，因为重要许多类群的系统位置发生了变化，描述了数十个新类群，获得了有关中心藻纲个体代表的生态和分布的新数据。在这方面，研究硅藻门的专家（藻类学家、古藻类学家、地层学家、水生生物学家、硅藻学家）需要基于现代概念对这一群体进行系统的总结（关键）。但基于我们自己的长期数据的概括、使用透射和扫描电子显微镜方法对新材料的进一步研究以及对现代文献的分析，将编写俄罗斯淡水中心硅藻指南。"
"fund_project","28","abstract_en","text","YES",,"英文摘要 (Original: project.apply_en_abs, ES: _source.EAB)","Centric diatoms dominate the plankton algozenozah in species diversity and abundance in water bodies of different types (lakes, reservoirs, rivers). The definition of this group of algae is carried out in Russia by domestic determinants of 50-90 years. (Diatoms .., 1951; Diatoms of the USSR, 1988.1992 and others.) And little available foreign (Krammer, Lange-Bertalot, 1991,1992), which currently do not meet the current knowledge on this group because there have been significant changes the systematic position of many taxa are described dozens of new, new data on the ecology and distribution of individual representatives Centrophyceae class. In this regard, for professionals (algology, paleoalgologi, stratigraphy, hydrobiologists, diatomologi), are engaged in studying of Bacillariophyta, require a systematic summary (determinant) for this group, based on current understanding. But the basis of generalization of their own long-term data, further studies of new material by the methods of transmission and scanning electron microscopy, Modern literature review will be prepared by the determinant centric diatoms fresh waters of Russia."
"fund_project","29","abstract_original","text","YES",,"原文摘要 (Original: project.apply_abs_original, ES: _source.APPLYABSORGINAL)","Центрические диатомовые водоросли занимают доминирующее положение в планктонных альгозенозах по видовому разнообразию и численности в водоемах различного типа (озера, водохранилища, реки). Определение этой группы водорослей проводится в России по отечественным определителям 50-90 гг. (Диатомовые..,1951; Диатомовые водоросли СССР, 1988,1992 и др.) или мало доступным зарубежным (Krammer, Lange-Bertalot, 1991,1992), которые в настоящее время не соответствуют современным знаниям по этой группе, поскольку произошли существенные изменения в систематическом положении многих таксонов, описаны десятки новых, получены новые данные по экологии и распространению отдельных представителей класса Centrophyceae. В этой связи, для специалистов (альгологи, палеоальгологи, стратиграфы, гидробиологи, диатомологи), которые занимаются изучением Bacillariophyta, необходима систематическая сводка (определитель) по этой группе, основанная на современных представлениях. Но основе обобщения собственных многолетних данных, дополнительных исследованиях нового материала с помощью методов трансмиссионной и сканирующей электронной микроскопии, анализа cовременной литературы будет подготовлен определитель по центрическим диатомовым водорослям пресных вод России."
"fund_project","30","introduction","text","YES",,"简介 (Original: project.intro, ES: _source.INTRO)","中心硅藻在各类水体（湖泊、水库、河流）中的物种多样性和丰富度方面在浮游藻类中占据主导地位。俄罗斯使用20世纪50年代至90年代的国内鉴定指南对这组藻类进行鉴定。 （硅藻......，1951；苏联硅藻，1988，1992 等）或难以获得的外国硅藻（Krammer，Lange-Bertalot，1991，1992），目前与该组的现代知识不符，因为重要许多类群的系统位置发生了变化，描述了数十个新类群，获得了有关中心藻纲个体代表的生态和分布的新数据。在这方面，研究硅藻门的专家（藻类学家、古藻类学家、地层学家、水生生物学家、硅藻学家）需要基于现代概念对这一群体进行系统的总结（关键）。但基于我们自己的长期数据的概括、使用透射和扫描电子显微镜方法对新材料的进一步研究以及对现代文献的分析，将编写俄罗斯淡水中心硅藻指南。"
"fund_project","31","subject_class","character varying(255)","YES",,"学科 (Original: project.dis, ES: _source.DIS)","Biological Sciences"
"fund_project","32","subject_level1","character varying(255)","YES",,"一级学科 (Original: project.disa, ES: _source.DISA)","Biological Sciences"
"fund_project","33","subject_level2","character varying(255)","YES",,"二级学科 (Original: project.disb, ES: _source.DISB)","Ecology"
"fund_project","34","subject_level3","character varying(255)","YES",,"三级学科 (Original: project.disc, ES: _source.DISC)",
"fund_project","35","principal_investigator","character varying(255)","YES",,"负责人 (Original: project.fau, ES: _source.FAU)","S.I. Genkal"
