"table_name","col_order","column_name","data_type","is_nullable","column_default","column_comment","example_value"
"industrial_park","1","id","character varying(64)","NO",,"主键 (Original: industrial_park.id, ES: _source.ID)","4b0e9173c32110c6b5bc189dbb83ffb3"
"industrial_park","2","external_id","character varying(64)","YES",,"外部ID (Original: industrial_park.f_id, ES: _source.F_ID)","22498"
"industrial_park","3","doc_code","character varying(64)","YES",,"索引库代码 (Original: industrial_park.doc_code, ES: _source.DOCCODE)","10100"
"industrial_park","4","doc_type","character varying(64)","YES",,"文档类型 (Original: industrial_park.doc_type, ES: _source.DOCTYPE)","产业园区"
"industrial_park","5","name","character varying(255)","YES",,"园区名称 (Original: industrial_park.name, ES: _source.NAME)","东莞佳兴科技园"
"industrial_park","6","address","character varying(500)","YES",,"园区地址 (Original: industrial_park.address, ES: _source.ADDR)","盐城市东台市南北路48西南方向60米"
"industrial_park","7","abstract","text","YES",,"园区简介 (Original: industrial_park.abstract, ES: _source.ABSTRACT)","东莞佳兴科技园位于广东东莞东莞市天鹅路48号附近,园区是东莞市重点园区，欢迎企业投资兴业！"
"industrial_park","8","org_count","integer","YES",,"入驻机构数 (Original: industrial_park.org_num, ES: _source.ORGNUM)","0"
"industrial_park","9","area_size","character varying(100)","YES",,"园区面积 (Original: industrial_park.area_num, ES: _source.AREANUM)","0"
"industrial_park","10","province","character varying(100)","YES",,"省 (Original: industrial_park.sheng, ES: _source.SHENG)","广东"
"industrial_park","11","city","character varying(100)","YES",,"市 (Original: industrial_park.shi,  ES: _source.SHI)","东莞"
"industrial_park","12","district","character varying(100)","YES",,"区县 (Original: industrial_park.xian, ES: _source.XIAN)","东台市"
"industrial_park","13","region_code","character varying(50)","YES",,"区域代码 (Original: industrial_park.area_code, ES: _source.AREACODE)","441900"
"industrial_park","14","longitude","character varying(50)","YES",,"经度 (Original: industrial_park.lng, ES: _source.LNG)","120.46435949779027"
"industrial_park","15","latitude","character varying(50)","YES",,"纬度 (Original: industrial_park.lat, ES: _source.LAT)","33.20283705057578"
"industrial_park","16","parent_org_id","character varying(64)","YES",,"所属机构ID (Original: industrial_park.org_id, ES: _source.ORGID)",
"industrial_park","17","parent_org_type","character varying(100)","YES",,"所属机构类型 (Original: industrial_park.org_type, ES: _source.ORGTYPE)",
"industrial_park","18","parent_org_province","character varying(100)","YES",,"所属机构省 (Original: industrial_park.org_province, ES: _source.ORGPROVINCE)","广东"
"industrial_park","19","parent_org_city","character varying(100)","YES",,"所属机构市 (Original: industrial_park.org_city, ES: _source.ORGCITY)","东莞"
"industrial_park","20","parent_org_district","character varying(100)","YES",,"所属机构区县 (Original: industrial_park.org_county, ES: _source.ORGCOUNTY)","东台市"
"industrial_park","21","update_timestamp","character varying(50)","YES",,"源更新时间 (Original: industrial_park.update_timestamp, ES: _source.UPDATE_TIMESTAMP)","1756366713088"
"industrial_park","22","create_time","timestamp without time zone","NO","CURRENT_TIMESTAMP",,"2026-01-16T19:43:45.49397"
"industrial_park","23","update_time","timestamp without time zone","NO","CURRENT_TIMESTAMP",,"2025-08-28T15:38:33"
"industrial_park","24","is_deleted","boolean","NO","false",,"false"
"industrial_park","25","etl_job_id","character varying(50)","YES",,,"ES_MIGRATE_V1"
"park_industry","1","park_id","character varying(64)","NO",,"园区ID (Original: industrial_park_industry.industrial_park, ES: _source.ID)","0350959f09b9b6fc46d2adf5a434e476"
"park_industry","2","industry_name","character varying(255)","NO",,"产业名称 (Original: industrial_park_industry.name, ES: _source.INDUSTRY)","电子商务"
"park_level","1","park_id","character varying(64)","NO",,"园区ID (Original: industrial_park_level.industrial_park, ES: _source.ID)","6353ab441ad59d635423ffe37ad04075"
"park_level","2","level_name","character varying(255)","NO",,"级别 (Original: industrial_park_level.level, ES: _source.LEVEL)","区县级"
"park_related_org","1","park_id","character varying(64)","NO",,"园区ID (Original: industrial_park_org.industrial_park, ES: _source.ID)","c28d3ea26d0befe1c039d9f71bef092d"
"park_related_org","2","org_name","character varying(255)","NO",,"机构名称 (Original: industrial_park_org.name, ES: _source.ORG)","华中师范大学"
"park_tag","1","park_id","character varying(64)","NO",,"园区ID (Original: industrial_park_tags.industrial_park, ES: _source.ID)","0ff96e6b6e409f98a1afee1eb95e9631"
"park_tag","2","tag_name","character varying(255)","NO",,"标签 (Original: industrial_park_tags.tag, ES: _source.TAGS)","工业园"
"park_type","1","park_id","character varying(64)","NO",,"园区ID (Original: industrial_park_type.industrial_park, ES: _source.ID)","4b0e9173c32110c6b5bc189dbb83ffb3"
"park_type","2","type_name","character varying(255)","NO",,"类型 (Original: industrial_park_type.name, ES: _source.TYPE)","科技园"
