"table_name","col_order","column_name","data_type","is_nullable","column_default","column_comment","example_value"
"industrial_policy","1","id","character varying(64)","NO",,"主键 (Original: industrial_policy.id, ES: _source.ID)","c881af00d8c243138d39493aefe28be0"
"industrial_policy","2","external_id","character varying(64)","YES",,"外部ID (Original: industrial_policy.f_id, ES: _source.F_ID)","280562"
"industrial_policy","3","doc_code","character varying(64)","YES",,"索引库代码 (Original: industrial_policy.doc_code, ES: _source.DOCCODE)","10084"
"industrial_policy","4","doc_type","character varying(64)","YES",,"文档类型 (Original: industrial_policy.doc_type, ES: _source.DOCTYPE)","产业政策"
"industrial_policy","5","title","text","YES",,"标题 (Original: industrial_policy.title, ES: _source.TITLE)","亳州市人民政府发布2015-2016年度亳州市科学技术奖推荐工作的通知"
"industrial_policy","6","category","character varying(255)","YES",,"栏目/分类 (Original: industrial_policy.p_column, ES: _source.COLUMN)","通知公告"
"industrial_policy","7","source_name","character varying(255)","YES",,"来源 (Original: industrial_policy.p_source, ES: _source.SOURCE)","亳州市科技局"
"industrial_policy","8","source_url","text","YES",,"来源网址 (Original: industrial_policy.source_url, ES: _source.SOURCEURL)","http://zct.zhenghe.cn/views/policyFile/policyFileDetails.html?id=c881af00d8c243138d39493aefe28be0"
"industrial_policy","9","publish_date","character varying(50)","YES",,"发布时间 (Original: industrial_policy.pub_date, ES: _source.PUBDATE)","2017-01-22"
"industrial_policy","10","content","text","YES",,"内容 (Original: industrial_policy.p_content, ES: _source.CONTENT)","<p style=""text-align: center;""><strong><span style=""font-family: 黑体; font-size: 21px;"">关于开展2015-2016年度亳州市科学技术奖推荐工作的通知(亳科〔2016〕125号)</span></strong></p><p style=""line-height: 150%; text-indent: 32px;""><span style=""line-height: 150%; font-family: 宋体; font-size: 16px;"">&nbsp;</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 0em""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">各县、区科技局，市经济开发区、亳芜现代产业园区科技管理部门，市直有关部门，各高等院校，中央、省驻亳单位:</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">为大力实施创新驱动发展战略，促进经济转型升级，推动创新型亳州建设，现将2015-2016年度亳州市科学技术奖推荐工作有关事项通知如下:</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">一、推荐范围</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">凡本市范围内企事业单位、高等院校、科研院所及个人取得的科技成果，符合《亳州市科学技术奖励办法》(亳政〔2010〕97号)相关规定，均可以推荐申报。</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">二、推荐方式</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">各县区科技局(市经济开发区、亳芜现代产业园区科技管理部门)、市直各单位、高等院校及中央、省驻亳单位等为亳州市科学技术奖的归口推荐单位。项目第一完成单位按照行政隶属关系向上述单位报送申报材料；两个以上单位共同完成的项目，由第一完成单位组织联合申报，联合申报单位均需加盖本单位公章。推荐单位推荐项目时，须提出推荐意见，负责人签名并加盖公章。</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">三、推荐要求</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">(一)总体要求</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">1、项目要求</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">(1)推荐项目必须是拥有核心自主知识产权(包括发明专利、计算机软件著作权、集成电路布图设计权、植物新品种权、相关论文专著等)或鉴定、验收等评价证明的科技成果。</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">(2)两个以上单位联合报奖的，第一完成人应当提供合作关系说明并承诺签名，同时提供相关合作证明。列入主要完成人名单的完成人应实际参与项目研究，并取得相应研究成果。</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">(3)推荐项目应当于2015年12月31日前完成整体技术应用。列入国家、省或市级以上计划、基金支持的项目，应当在项目整体验收通过后推荐。</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">(4)申报2015-2016年度市科技奖项目的前三位完成人中，同一人同一年度只能参与1项市科学技术奖的推荐。</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">(5)申报单位或个人须对申报材料的真实性负责，推荐单位须按照要求对推荐项目严格审查，择优推荐。一经发现有弄虚作假、拼凑剽窃等学术不端或其他违规违纪行为的，取消报奖资格，列入诚信数据库，并严格追究相关人员责任。</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">2、不得推荐的项目</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">(1)存在技术实质性争议、知识产权纠纷或主要完成单位、主要完成人排序等非实质性争议的项目；</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">(2)国家或有关行业主管部门规定必须具备而没有取得相关证明文件的项目；</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">(3)已获国家、省或市科学技术奖的项目；</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">(4)上一届市科学技术奖落选，技术上未取得实质性突破的项目；</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">(5)中间成果项目，拼凑成果、重复成果项目。</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">3、申报书填写要求</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">申报书是市科技奖评审的主要依据，请各推荐单位按照要求，督促申报单位认真填写。申报书的内容应当完整、规范，</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">文字描述应当准确、客观。项目完成单位应是独立的法人单位，单位名称以法人机构审批机关核准的名称为准。申报书主件所填内容应与附件中各类证明材料有相互对应的印证关系。</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">多个单位(人)共同完成的项目，项目主要完成单位、主要完成人按照贡献大小顺序进行限额填报。市科学技术奖一等奖单个奖项授奖人数不超过10人，单位不超过4个；二等奖单个奖项授奖人数不超过8人，单位不超过3个；三等奖单个奖项授奖人数不超过6人，单位不超过2个。</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">4、知识产权要求</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">申报项目应如实填写直接支撑本项目主要科技创新的知识产权，与本项目无关或关联不紧密的知识产权不得作为支撑材料列入附件内容。所有知识产权目录不超过10项、核心知识产权不超过5项，并提供这5项核心知识产权相关原文的复印件。</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">5、客观评价材料要求</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">客观评价应围绕科技创新点的创新性、先进性、应用效果和对行业科技进步的作用，做出客观、真实、准确评价。客观评价的依据载体，主要包括与国内外相关技术的比较，国家相关部门正式作出的技术检测报告、验收意见、鉴定结论，国内外重要科技奖励，国内外同行在重要学术刊物、学术专著和重要国际学术会议公开发表的学术性评价意见等，可在附件中提供证明材料。非公开资料(如私人信函等)不能作为评价依据。</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">6、应用证明材料要求</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">整体技术结题投产或应用推广项目，提供不超过15个应用单位的应用目录和应用证明材料原件，应用证明须加盖应用单位(法人单位)公章。</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">7.经济社会效益要求</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">项目的整体技术通过实际应用，证明其技术成熟，并产生显著经济或社会效益。直接经济效益是指报奖完成单位完成该项目新增效益之和，应提供相应的证明材料。非项目完成单位所取得的经济效益以及产生的社会效益均为间接经济效益，可提供相应证明材料。</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">8、查新报告和检索报告要求</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">科技查新或检索报告须提供2016年1月1日以后的查新或检索结论。检索、查新机构应是具备国家资质的专业机构。</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">(二)材料要求</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">申报单位应仔细阅读申报书填写说明，按要求认真填写，突出项目技术创新的重点内容以及对亳州市经济社会发展和行业技术进步所做出的实际贡献。推荐单位对所推荐项目进行书面报送推荐，推荐意见无需提出受奖等级意见。</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">1.申报材料</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">主件:《亳州市科学技术奖申报书》</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">附件:</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">(1)技术研究总结报告；</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">(2)知识产权、鉴定、验收证书等评价证明；</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">(3)查新(检索)报告；</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">(4)经济和社会效益分析报告；</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">(5)应用单位证明；</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">(6)其他相关材料。</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">其中，技术研究总结报告不超过10页，核心知识产权证明材料不超过5页，附件材料总页数不超过50页。</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">2.报送时间及要求</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">申报书和附件材料应以可拆卸方式装订成册，不需另加任何封面，所有材料均一式3份，其中原件1份、彩色复印件2份，一律采用A4规格的单面纸张。推荐单位于2017年2月28日前将纸质材料报送至市科技局，并将申报书主件电子版发至联系人邮箱(bzkjjcgk@sina.com)，逾期不予受理。</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">四、联系方式</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">亳州市科技局 刘中敏</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">电话:5606909 邮箱:bzkjjcgk@sina.com。</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">地址:亳州市谯城区希夷大道455号政务服务中心10楼科技局成果科</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">本通知和相关申报书、填写要求及附件材料说明在市科技</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">局网站发布，请各单位自行查阅并下载(网址:http://www.kjbz.gov.cn/或http://bzkjj.my71.com/)。<br/><br/></span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px""></span></p><p style=""LINE-HEIGHT: 16px; TEXT-INDENT: 2em; FONT-SIZE: 16px""><img src=""http://www.zhenghe.cn/ueditor1/dialogs/attachment/fileTypeImages/icon_doc.gif""/><a href=""http://fss.zhenghe.cn//zht//ueditor/files/87D7B885A20A4F69B83CC5A2D87E276F.doc"">(2016)亳州市科学技术奖申报书20161207.doc</a></p><p style=""LINE-HEIGHT: 16px; TEXT-INDENT: 2em; FONT-SIZE: 16px""><img src=""http://www.zhenghe.cn/ueditor1/dialogs/attachment/fileTypeImages/icon_doc.gif""/><a href=""http://fss.zhenghe.cn//zht//ueditor/files/4C8D11CCB89C4D20B399924A8C8CB8EC.doc"">(2016)亳州市科学技术奖申报书填写要求20161207.doc</a></p><p style=""LINE-HEIGHT: 16px; TEXT-INDENT: 2em; FONT-SIZE: 16px""><img src=""http://www.zhenghe.cn/ueditor1/dialogs/attachment/fileTypeImages/icon_doc.gif""/><a href=""http://fss.zhenghe.cn//zht//ueditor/files/549BCB83DC004B33915D5240A1EC3A95.doc"">(2016)关于附件材料页数的说明20161207.doc</a></p><p style=""LINE-HEIGHT: 16px; TEXT-INDENT: 2em; FONT-SIZE: 16px""><img src=""http://www.zhenghe.cn/ueditor1/dialogs/attachment/fileTypeImages/icon_doc.gif""/><a href=""http://fss.zhenghe.cn//zht//ueditor/files/00C762F2515A401CBD75B5477ECFFF51.docx"">亳州市科学技术奖推荐项目汇总表.docx</a></p><p style=""LINE-HEIGHT: 16px; TEXT-INDENT: 2em; FONT-SIZE: 16px""><img src=""http://www.zhenghe.cn/ueditor1/dialogs/attachment/fileTypeImages/icon_doc.gif""/><a href=""http://fss.zhenghe.cn//zht//ueditor/files/0F33292F655E4BDB8F1637437CAF35B8.docx"">附件：形式审查不合格的内容.docx</a></p><p style=""LINE-HEIGHT: 16px; TEXT-INDENT: 2em; FONT-SIZE: 16px""><img src=""http://www.zhenghe.cn/ueditor1/dialogs/attachment/fileTypeImages/icon_doc.gif""/><a href=""http://fss.zhenghe.cn//zht//ueditor/files/0224BF3F482549CC95FFF5E4DA2E3583.docx"">推荐函样式.docx</a></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px""></span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">&nbsp;</span></p><p style=""LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">&nbsp;</span></p><p style=""TEXT-ALIGN: right; LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">亳州市科技局</span></p><p style=""TEXT-ALIGN: right; LINE-HEIGHT: 150%; TEXT-INDENT: 32px""><span style=""LINE-HEIGHT: 150%; FONT-FAMILY: 宋体; FONT-SIZE: 16px"">2017年01月22日</span></p>"
