"table_name","col_order","column_name","data_type","is_nullable","column_default","column_comment","example_value"
"institution","1","id","character varying(64)","NO",,"主键 (Original: institution.institution_id, ES: _source.ID)","QYEIA07YOX"
"institution","2","external_id","character varying(64)","YES",,"外部ID (Original: institution.f_id, ES: _source.F_ID)","EIA07YOX"
"institution","3","name","character varying(255)","YES",,"机构名称 (Original: institution.name, ES: _source.NAME)","深圳微锐科科技有限公司"
"institution","4","credit_code","character varying(100)","YES",,"统一社会信用代码 (Original: institution.credit_code, ES: _source.CREDITCODE)","91440300MA5EMGNRXB"
"institution","5","taxpayer_code","character varying(100)","YES",,"纳税人识别码 (Original: institution.taxpayer_identification_number, ES: _source.TAXPAYER)","91440300MA5EMGNRXB"
"institution","6","registration_no","character varying(100)","YES",,"工商注册号 (Original: institution.business_registration_number, ES: _source.REGISTRATION)","440300201849545"
"institution","7","org_code","character varying(100)","YES",,"原组织机构代码 (Original: institution.old_organization_code, ES: _source.ORGANIZATION)","MA5EMGNR-X"
"institution","8","company_type","character varying(100)","YES",,"公司类型 (Original: institution.company_type, ES: _source.COMPANYTYPE)","有限责任公司"
"institution","9","institution_type","character varying(100)","YES",,"机构类型 (Original: institution.institution_type, ES: _source.ORGTYPE)","机构库"
"institution","10","status","character varying(50)","YES",,"状态 (Original: institution.status, ES: _source.STATUS)","存续"
"institution","11","registered_capital","character varying(100)","YES",,"注册资本 (Original: institution.registered_capital_amount, ES: _source.FUND)","200万人民币"
"institution","12","stock_code","character varying(50)","YES",,"股票代码 (Original: institution.stock_code, ES: _source.STOCK)",
"institution","13","scale","character varying(100)","YES",,"规模 (Original: institution.institution_scale, ES: _source.ORGSCALE)",
"institution","14","staff_count","character varying(50)","YES",,"社保员工数 (Original: institution.si_reg_emp_cnt, ES: _source.SOCIAL_SECURITY_STAFF_NUM)","4"
"institution","15","founding_year","integer","YES",,"成立年份 (Original: institution.year, ES: _source.YEAR)","2017"
"institution","16","establishment_date","character varying(50)","YES",,"成立日期 (Original: institution.establishment_date, ES: _source.FOUND, _source.DATE)","2017-07-17"
"institution","17","legal_representative","character varying(100)","YES",,"法人代表 (Original: institution.legal_representative, ES: _source.LEGALPERSON)","靳名洋"
"institution","18","competent_unit","character varying(255)","YES",,"主管单位 (Original: institution.competent_unit, ES: _source.COMPUNIT)",
"institution","19","phone","character varying(100)","YES",,"电话 (Original: institution.contact_phone, ES: _source.CONTACT)","13760207892"
"institution","20","email","character varying(100)","YES",,"邮箱 (Original: institution.contact_email, ES: _source.EMAIL)","623422319@qq.com"
"institution","21","website_url","character varying(500)","YES",,"官网 (Original: institution.website, ES: _source.URL)","www.virico-china.com"
