"table_name","col_order","column_name","data_type","is_nullable","column_default","column_comment","example_value"
"journal","1","id","character varying(64)","NO",,"主键 (Original: journal.journal_id, ES: _source.ID)","J19895"
"journal","2","external_id","character varying(64)","YES",,"外部ID (Original: journal.f_id, ES: _source.F_ID)","19895"
"journal","3","issn","character varying(30)","YES",,"ISSN (Original: journal.issn, ES: _source.ISSN)","2096-5702"
"journal","4","cn_no","character varying(50)","YES",,"CN号 (Original: journal.unified_publication_number, ES: _source.CNCODE)","10-1570/V"
"journal","5","journal_code","character varying(64)","YES",,"期刊代码 (Original: journal.journal_code, ES: _source.CID)","DBYG"
"journal","6","title_cn","character varying(500)","NO",,"中文标题 (Original: journal.title, ES: _source.TI)"," "
"journal","7","title_en","character varying(500)","YES",,"英文标题 (Original: journal.title_en/title_en2, ES: _source.TIE/_source.EN)","Aerospace Power"
"journal","8","former_name","character varying(500)","YES",,"曾用名 (Original: journal.former_name, ES: _source.OTI)","一拖科技"
"journal","9","language","character varying(50)","YES",,"语种 (Original: journal.language, ES: _source.LANGUAGE)","中文;"
"journal","10","frequency","character varying(50)","YES",,"出版周期 (Original: journal.publish_cycle, ES: _source.PUBLISHCYCLE)","双月"
"journal","11","founding_year","integer","YES",,"创刊年份-清洗值 (Derived from founding_date)","2014"
"journal","12","founding_date_raw","character varying(50)","YES",,"创刊年份-原始值 (Original: journal.founding_date, ES: _source.FOUNDINGDATE)","2014"
"journal","13","start_date_raw","character varying(50)","YES",,"起始出版年份-原始值 (Original: journal.start_date, ES: _source.STARTDATE)","2000"
"journal","14","end_date_raw","character varying(50)","YES",,"停止/终止年份-原始值 (Original: journal.end_date, ES: _source.ENDDATE)","2000"
"journal","15","stop_date_raw","character varying(50)","YES",,"停刊时间-原始值 (Original: journal.stop_date, ES: _source.STOPDATE)","1899-12-31T15:54:17.000Z"
"journal","16","suspension_date_raw","character varying(50)","YES",,"暂停出版时间-原始值 (Original: journal.suspension_date, ES: _source.SUSPENSIONDATE)","1899-12-31T15:54:17.000Z"
"journal","17","resume_date_raw","character varying(50)","YES",,"恢复出版时间-原始值 (Original: journal.resume_date, ES: _source.RESUMPTIONDATE)","1899-12-31T15:54:17.000Z"
"journal","18","publication_status","character varying(20)","YES","'Normal'::character varying","出版状态 (逻辑: 基于原始时间推算 Normal/Suspended/Stopped)","Normal"
"journal","19","sponsor_name","character varying(500)","YES",,"主办单位 (Original: journal.sponsor, ES: _source.SPONSOR)","最高人民检察院法律政策研究室;检察日报社"
"journal","20","competent_org","character varying(500)","YES",,"主管单位 (Original: journal.competent_unit, ES: _source.COMPETENTDEPARTMENT)","经济日报社"
"journal","21","publisher_name","character varying(500)","YES",,"出版机构 (Original: journal.org_name, ES: _source.ORG)","中国电子学会"
"journal","22","chief_editor","character varying(200)","YES",,"主编姓名 (Logic: 聚合 journal_chief_editor.name)","钱竹"
"journal","23","impact_factor","numeric(10,4)","YES",,"影响因子 (Original: journal.impact_factor, ES: _source.ImpactFactor)","0.3600"
"journal","24","total_articles","integer","YES",,"发文总量 (Original: journal.number_of_papers, ES: _source.NUMBEROFPAPERS)","0"
"journal","25","is_core","boolean","YES",,"是否核心 (Original: journal.core_have, ES: _source.ISCORE)","false"
"journal","26","is_cover_image","boolean","YES",,"是否有封面 (Original: journal.picture_have, ES: _source.PICTUREHAVE)","false"
"journal","27","editorial_address","character varying(500)","YES",,"编辑部地址 (Original: journal.editor_address, ES: _source.EDITORADDRESS)","北京市西城区白纸坊东街2号经济日报社2号楼"
"journal","28","editorial_email","character varying(255)","YES",,"编辑部邮箱 (Original: journal.editor_mail, ES: _source.EDITORMAIL)","smsj56235166@163.com"
"journal","29","editorial_tel","character varying(100)","YES",,"编辑部电话 (Original: journal.editor_tel, ES: _source.EDITORTEL)","010-58393728"
"journal","30","editorial_fax","character varying(100)","YES",,"编辑部传真 (Original: journal.editor_fax, ES: _source.EDITORFAX)","0471-4992252"
"journal","31","editorial_website","character varying(1024)","YES",,"编辑部网址 (Original: journal.editorial_office_url, ES: _source.EDITORURL)","www.zgfdc1980.com"
"journal","32","postal_code","character varying(20)","YES",,"邮编 (Original: journal.editor_post, ES: _source.EDITORPOST)","100032"
"journal","33","description","text","YES",,"摘要/简介 (Original: journal.abstract, ES: _source.AB)","工商行政管理业务刊物。办刊宗旨：宣传党和国家既要坚持改革开放，又要加强监督管理的方针政策，以及有关工商行政管理的法律法规。"
"journal","34","db_inclusion_desc","text","YES",,"数据库收录说明 (Original: journal.db_collection, ES: _source.DBCOLLECTION)","中国人文社会科学引文数据库(CHSSCD—2004);中国《北大核心期刊（2004版）》、中国《北大核心期刊（2008版）》、"
"journal","35","country_code","character varying(20)","YES",,"国家/地区代码 (Original: journal.area_admin_division_code, ES: _source.ACODE)","110000"
"journal","36","province_name","character varying(100)","YES",,"省份名称 (Original: journal.area, ES: _source.AREA)","北京市"
"journal","37","create_time","timestamp without time zone","NO","CURRENT_TIMESTAMP",,"2026-01-08T18:42:54.667186"
"journal","38","update_time","timestamp without time zone","NO","CURRENT_TIMESTAMP",,"2026-01-08T18:42:54.667186"
"journal","39","is_deleted","boolean","NO","false",,"false"
"journal","40","etl_job_id","character varying(50)","YES",,,"MIGRATE_V1_20260108"
"journal_award","1","journal_id","character varying(64)","NO",,,"J10611"
"journal_award","2","award_name","character varying(255)","NO",,"奖项名称 (Original: journal_award.award)","社科双效期刊"
"journal_core_inclusion","1","journal_id","character varying(64)","NO",,"关联主表ID (Original: journal_core_list.journal_id)","J10264"
"journal_core_inclusion","2","core_source","character varying(64)","NO",,"收录机构 (Original: journal_core_list.core)","CSTPCD"
"journal_core_inclusion","3","included_years","text","YES",,"收录年份列表 (Original: journal_core_list.year_list)","2011;2012;2013;2014;2015;2016;2017;2018;2019"
"journal_subject","1","journal_id","character varying(64)","NO",,,"J17341"
"journal_subject","2","subject_code","character varying(64)","NO",,"分类号 (Original: *.zid)","V"
"journal_subject","3","subject_type","character varying(20)","NO",,"分类体系类型 (ZID, SZID, TZID, DZID, VIP)","ZID"
"journal_volume_issue","1","journal_id","character varying(64)","NO",,,"J19895"
"journal_volume_issue","2","year","integer","NO",,"年份 (Original: journal_volume.year)","2024"
"journal_volume_issue","3","volume_info","text","YES",,"卷期详情 (Original: journal_volume.volume)","000"
