"table_name","col_order","column_name","data_type","is_nullable","column_default","column_comment","example_value"
"cooperation_author","1","coop_id","character varying(64)","NO",,"合作主键 (Original: loc_author.loc_id, ES: _source.ID)","QKV20192020051100085503A9821321321087994934"
"cooperation_author","2","author_name","character varying(255)","NO",,"作者姓名 (Original: loc_author.author_name, ES: _source.AU)","刘福"
"cooperation_data_class","1","coop_id","character varying(64)","NO",,"合作主键 (Original: loc_data_classification.loc_id, ES: _source.ID)","QKC20192019031100151372A13252060953181304579"
"cooperation_data_class","2","class_name","character varying(255)","NO",,"分类名称 (Original: loc_data_classification.classification, ES: _source.DATACLASS)","G4"
"cooperation_fund","1","coop_id","character varying(64)","NO",,"合作主键 (Original: loc_fund.loc_id, ES: _source.ID)",
"cooperation_fund","2","fund_name","character varying(500)","NO",,"基金名称 (Original: loc_fund.fund, ES: _source.FUND)",
"cooperation_industry_code","1","coop_id","character varying(64)","NO",,"合作主键 (Original: loc_trade_code.loc_id, ES: _source.ID)","QKC20192019082800042689A8699660142342536695"
"cooperation_industry_code","2","industry_code","character varying(100)","NO",,"代码 (Original: loc_trade_code.code, ES: _source.TRADECODEA/_source.TRADECODEB)","D44"
"cooperation_industry_info","1","coop_id","character varying(64)","NO",,"合作主键 (Original: loc_trade.loc_id, loc_industry.loc_id, loc_trade_tag.loc_id, ES: _source.ID)","QKC20192019121000029625A5759113026886738538"
"cooperation_industry_info","2","info_name","character varying(255)","NO",,"名称 (Original: loc_trade.trade, loc_industry.industry, loc_trade_tag.tag, ES: _source.TRADEA/_source.TRADEB, _source.CHANYE, _source.HANGYE)","软件和信息技术服务业"
"cooperation_industry_info","3","info_type","character varying(20)","NO",,"类型 (Logic: ETL区分来源 - TRADE/INDUSTRY/TAG)","TAG"
"cooperation_keyword","1","coop_id","character varying(64)","NO",,"合作主键 (Original: loc_keyword.loc_id, ES: _source.ID)","QKV20192020051100085503A9821321321087994934"
"cooperation_keyword","2","keyword","character varying(255)","NO",,"关键词 (Original: loc_keyword.keyword, ES: _source.KEYWORD)","害虫"
"cooperation_org_list","1","coop_id","character varying(64)","NO",,"合作主键 (Original: loc_org.loc_id, ES: _source.ID)","QKC20192019031100151372A13252060953181304579"
"cooperation_org_list","2","org_name","character varying(255)","NO",,"机构名称 (Original: loc_org.org_name, ES: _source.ORG)","迁安市职业技术教育中心"
"cooperation_subject","1","coop_id","character varying(64)","NO",,"合作主键 (Original: loc_cid.loc_id, ES: _source.ID)","QKV20192020051100085503A9821321321087994934"
"cooperation_subject","2","subject_code","character varying(100)","NO",,"分类号 (Original: loc_cid.classification, ES: _source.CID)","S4"
"literature_org_cooperation","1","id","character varying(64)","NO",,"合作主键 (Original: loc_master.loc_id, ES: _source.ID)","QKV20192020051100085503A9821321321087994934"
"literature_org_cooperation","2","literature_id","character varying(64)","YES",,"文献ID (Original: loc_master.literature_id, ES: _source.WXID)","QKV20192020051100085503"
"literature_org_cooperation","3","external_id","character varying(64)","YES",,"外部ID (Original: loc_master.f_id, ES: _source.F_ID)","15707718"
"literature_org_cooperation","4","resource_id","character varying(64)","YES",,"资源ID (Original: loc_master.rid, ES: _source.RID)","9821321321087994934"
"literature_org_cooperation","5","title","text","YES",,"标题 (Original: loc_master.title, ES: _source.TITLE)","2019年玉溪市江川区草地贪夜蛾防控技术"
"literature_org_cooperation","6","data_group","character varying(100)","YES",,"数据分组 (Original: loc_master.data_group, ES: _source.DATAGROUP)","QK"
"literature_org_cooperation","7","data_type","character varying(100)","YES",,"数据类型 (Original: loc_master.data_type, ES: _source.DATATYPE)","0"
"literature_org_cooperation","8","coop_year","integer","YES",,"合作年份 (Original: loc_master.year, ES: _source.YEAR)","2019"
"literature_org_cooperation","9","coop_year_month","character varying(20)","YES",,"合作年月 (Original: loc_master.year_month, ES: _source.NIANYUE)","201901"
"literature_org_cooperation","10","coop_date","character varying(50)","YES",,"合作日期 (Original: loc_master.date, ES: _source.DATE)","2019-01-01"
"literature_org_cooperation","11","cooperation_type","character varying(100)","YES",,"合作类型 (Original: loc_master.coop_type, ES: _source.HZTYPE)","LW"
"literature_org_cooperation","12","relationship_type","character varying(100)","YES",,"机构关系 (Original: loc_master.relationship, ES: _source.RELATIONSHIP)","CXY"
"literature_org_cooperation","13","is_cooperation","character varying(50)","YES",,"是否合作 (Original: loc_master.cooperation, ES: _source.COOPERATION)","省内;市内"
"literature_org_cooperation","14","org_a_name","character varying(255)","YES",,"机构A名称 (Original: loc_master.name_a, ES: _source.NAMEA)","江川区安化乡农业农村综合服务中心"
"literature_org_cooperation","15","org_a_name_std","character varying(255)","YES",,"机构A标准名 (Original: loc_master.name_a_std, ES: _source.NAMEA_STD)","江川区安化乡农业农村综合服务中心"
