"table_name","col_order","column_name","data_type","is_nullable","column_default","column_comment","example_value"
"scholar","1","id","character varying(64)","NO",,"主键 (Original: scholar.scholar_id, ES: _source.ID)","L20685996"
"scholar","2","external_id","character varying(64)","YES",,"外部ID (Original: scholar.f_id, ES: _source.F_ID)","20685996"
"scholar","3","q_code","character varying(64)","YES",,"QCODE (Original: scholar.q_code, ES: _source.QCODE)",
"scholar","4","name_zh","character varying(255)","YES",,"中文名 (Original: scholar.name_zh, ES: _source.CNAME)","任波"
"scholar","5","name_en","character varying(255)","YES",,"英文名 (Original: scholar.name_en, ES: _source.ENAME)","REN Bo"
"scholar","6","gender","character varying(50)","YES",,"性别 (Original: scholar.gender, ES: _source.GENDER)","女"
"scholar","7","nation","character varying(100)","YES",,"民族 (Original: scholar.nation, ES: _source.NATION)","满族"
"scholar","8","birth_date","character varying(50)","YES",,"出生日期 (Original: scholar.birthdate, ES: _source.BIRTHDATE)","1984-01-01"
"scholar","9","birth_place","character varying(255)","YES",,"出生地 (Original: scholar.birth_place, ES: _source.BIRTHPLACE)",
"scholar","10","native_place_text","character varying(255)","YES",,"籍贯文本 (Original: scholar.native, ES: _source.NATIVE)","辽宁盘锦人"
"scholar","11","foreign_language","character varying(100)","YES",,"外语语种 (Original: scholar.foreign_language, ES: _source.FOREIGHLANGUAGE)",
"scholar","12","degree","character varying(100)","YES",,"最高学位 (Original: scholar.degree, ES: _source.DEGREE)","硕士研究生"
"scholar","13","job_title","character varying(255)","YES",,"职务 (Original: scholar.job_title, ES: _source.JOBTITLE)","四川省地方税务局副局长"
"scholar","14","current_position","text","YES",,"任职情况 (Original: scholar.present, ES: _source.PRESENT)",
"scholar","15","research_direction","text","YES",,"研究方向 (Original: scholar.direction, ES: _source.DIRECTION)","研究方向:机械设计"
"scholar","16","introduction","text","YES",,"简介 (Original: scholar.intro, ES: _source.INTRO)","^A2010^B任波(1984-),女,辽宁盘锦人,沈阳师范大学职业技术教育学专业在读研究生;"
"scholar","17","abstract","text","YES",,"摘要 (Original: scholar.abstract, ES: _source.ABSTRACT)",
"scholar","18","academician_status","character varying(100)","YES",,"院士信息 (Original: scholar.academician, ES: _source.ACADEMICIAN)",
"scholar","19","h_index","character varying(50)","YES",,"H指数 (Original: scholar.h_index, ES: _source.H)","1"
"scholar","20","total_citations","integer","YES",,"被引次数 (Original: scholar.total_citations, ES: _source.quoteCount)","1"
"scholar","21","total_journal_articles","integer","YES",,"发文数 (Original: scholar.total_journal, ES: _source.journalCount)","2"
"scholar","22","email","character varying(500)","YES",,"邮箱 (Original: scholar.email, ES: _source.EMAIL)","649865925@qq.com"
"scholar","23","phone","character varying(100)","YES",,"电话 (Original: scholar.tel, ES: _source.TEL)","15158130469"
"scholar","24","fax","character varying(100)","YES",,"传真 (Original: scholar.fax, ES: _source.FAX)",
"scholar","25","address","character varying(500)","YES",,"地址 (Original: scholar.address, ES: _source.ADDR)","['广东省广州市天河区五山路381号']"
"scholar","26","photo_url","character varying(500)","YES",,"头像地址 (Original: scholar.photo_path, ES: _source.PHOTOPATH)","7/L20703667.jpg"
"scholar","27","province","character varying(100)","YES",,"省 (Original: scholar_region.sheng, scholar_region.province, ES: _source.SHENG, _source.PROVINCE)","辽宁省"
"scholar","28","city","character varying(100)","YES",,"市 (Original: scholar_region.shi, scholar_region.city, ES: _source.SHI, _source.CITY)","沈阳市"
"scholar","29","district","character varying(100)","YES",,"区县 (Original: scholar_region.xian, scholar_region.county, ES: _source.XIAN, _source.COUNTY)","皇姑区"
"scholar","30","native_province","character varying(100)","YES",,"籍贯省 (Original: scholar_region.native_sheng, scholar_region.native_province, ES: _source.NATIVESHENG, _source.NATIVEPROVINCE)","辽宁"
"scholar","31","native_city","character varying(100)","YES",,"籍贯市 (Original: scholar_region.native_shi, scholar_region.native_city, ES: _source.NATIVESHI, _source.NATIVECITY)","盘锦"
"scholar","32","native_district","character varying(100)","YES",,"籍贯区县 (Original: scholar_region.native_xian, scholar_region.native_county, ES: _source.NATIVEXIAN, _source.NATIVECOUNTY)","嵊州市"
"scholar","33","zip_code","character varying(50)","YES",,"邮编 (Original: scholar_region.zip, ES: _source.ZIP)","110034"
"scholar","34","region_code","character varying(50)","YES",,"地区代码 (Original: scholar_region.area_admin_division_code, ES: _source.AREACODE)","210105"
"scholar","35","phone_area_code","character varying(50)","YES",,"电话区号 (Original: scholar_region.tel_area_code, ES: _source.REGION)","024"
"scholar","36","province_code","character varying(50)","YES",,"省代码 (Original: scholar_region.province_admin_division_code, ES: _source.SHENGCODE)","210000"
"scholar","37","city_code","character varying(50)","YES",,"市代码 (Original: scholar_region.shi_admin_division_code, ES: _source.SHICODE)","210100"
"scholar","38","district_code","character varying(50)","YES",,"区县代码 (Original: scholar_region.xian_admin_division_code, ES: _source.XIANCODE)","210105"
"scholar","39","native_region_code","character varying(50)","YES",,"籍贯地区代码 (Original: scholar_region.native_admin_division_code, ES: _source.NATIVEAREACODE)","211100"
"scholar","40","native_province_code","character varying(50)","YES",,"籍贯省代码 (Original: scholar_region.native_sheng_admin_division_code, ES: _source.SHENGNATIVEAREACODE)","210000"
"scholar","41","native_city_code","character varying(50)","YES",,"籍贯市代码 (Original: scholar_region.native_shi_admin_division_code, ES: _source.SHINATIVEAREACODE)","211100"
"scholar","42","native_district_code","character varying(50)","YES",,"籍贯县代码 (Original: scholar_region.native_county_admin_division_code, ES: _source.XIANNATIVEAREACODE)","330683"
"scholar","43","remark","text","YES",,"附注 (Original: scholar.memo, ES: _source.MEMO)","分级单位来自万方"
"scholar","44","data_source","character varying(100)","YES",,"数据来源 (Original: scholar.datasource, ES: _source.DATASOURCE)",
"scholar","45","create_time","timestamp without time zone","NO","CURRENT_TIMESTAMP",,"2026-01-15T02:31:30.266227"
"scholar","46","update_time","timestamp without time zone","NO","CURRENT_TIMESTAMP",,"2026-01-15T02:31:30.266227"
"scholar","47","is_deleted","boolean","NO","false",,"false"
"scholar","48","etl_job_id","character varying(50)","YES",,,"ES_MIGRATE"
"scholar_education","1","id","character varying(64)","NO",,"主键 (Original: scholar_education.id)","2669682ee87b3a6695e90c1d0baf1a8d"
"scholar_education","2","scholar_id","character varying(64)","NO",,"学者ID (Original: scholar_education.scholar_id)","L05946848"
"scholar_education","3","education_desc","text","NO",,"教育经历 (Original: scholar_education.education, ES: _source.EDU)","甘肃中医学院硕士研究生"
"scholar_fund","1","scholar_id","character varying(64)","NO",,"学者ID (Original: scholar_rel_fund.scholar_id)","L22558711"
"scholar_fund","2","fund_name","character varying(255)","NO",,"基金 (Original: scholar_rel_fund.fund, ES: _source.RELFUND)","""重大新药创制""国家科技重大专项"
"scholar_honor","1","scholar_id","character varying(64)","NO",,"学者ID (Original: scholar_honor.scholar_id)","L37535974"
"scholar_honor","2","honor_name","character varying(255)","NO",,"荣誉 (Original: scholar_honor.honor, ES: _source.HORNOR)","1994年，郑州市第二届优秀青年企业家、郑州市先进工作者、新长征突击手、五一劳动奖章"
"scholar_industry","1","scholar_id","character varying(64)","NO",,"学者ID (Original: scholar_trade.scholar_id, scholar_industry.scholar_id)","L30518418"
"scholar_industry","2","industry_name","character varying(255)","NO",,"名称 (Original: scholar_trade.trade, scholar_industry.industry, ES: _source.TRADE, _source.INDUSTRY)","导航、测绘、气象及海洋专用仪器制造"
"scholar_industry","3","industry_type","character varying(20)","NO",,"类型 (Logic: ETL区分来源 - TRADE/INDUSTRY)","TRADE"
"scholar_job_title","1","scholar_id","character varying(64)","NO",,"学者ID (Original: scholar_title.scholar_id)","L29596457"
"scholar_job_title","2","title_name","character varying(255)","NO",,"职称 (Original: scholar_title.title, ES: _source.TITLE)","实验师"
"scholar_org","1","scholar_id","character varying(64)","NO",,"学者ID (Original: scholar_org.scholar_id)","L22601203"
"scholar_org","2","org_name","character varying(500)","NO",,"机构名称 (Original: scholar_org.org_list, ES: _source.ORG)","厦门市集美区工程预决算审核所"
"scholar_org","3","org_id","character varying(64)","YES",,"机构ID (Original: scholar_org.org_id, ES: _source.ORGID)","KYN09327KYN06666GXT01504LK506442"
"scholar_org","4","level1_org","character varying(255)","YES",,"一级机构 (Original: scholar_org.a_org, ES: _source.AORG)","厦门市集美区工程预决算审核所"
"scholar_org","5","level2_org","character varying(255)","YES",,"二级机构 (Original: scholar_org.b_org, ES: _source.BORG)","广州分院"
"scholar_org","6","level3_org","character varying(255)","YES",,"三级机构/类别 (Original: scholar_org.c_org, ES: _source.CORG)","广州地球化学研究所"
"scholar_org","7","org_type","character varying(100)","YES",,"机构类型 (Original: scholar_org.org_type, ES: _source.ORGTYPE)","QT"
