"table_name","col_order","column_name","data_type","is_nullable","column_default","column_comment","example_value"
"scholar","1","id","character varying(64)","NO",,"主键 (Original: sci_scholar.scholar_id, ES: _source.ID)","b47e0d8de7a3d7013df44fb1e8fa0450"
"scholar","2","external_id","character varying(64)","YES",,"外部ID (Original: sci_scholar.f_id, ES: _source.F_ID)","17664347"
"scholar","3","chinese_source_id","character varying(64)","YES",,"中文关联ID (Original: sci_scholar.zhn_id, ES: _source._ID)","W019159717"
"scholar","4","name","character varying(255)","YES",,"学者姓名 (Original: sci_scholar.name, ES: _source.NAME)","Ignacio Murillo Jose"
"scholar","5","orcid","character varying(64)","YES",,"ORCID (Original: sci_scholar.orcid, ES: _source.ORCID)","0000-0001-7271-4676"
"scholar","6","article_count","integer","YES",,"发文量 (Original: sci_scholar.cnt, ES: _source.CNT)","2"
"scholar","7","email","text","YES",,"邮箱 (Original: sci_scholar.email, ES: _source.EMAIL)","jimurillo@unav.es"
"scholar","8","org_type","character varying(255)","YES",,"机构类型 (Original: sci_scholar.org_type, ES: _source.ORGTYPE)","GX"
"scholar","9","create_time","timestamp without time zone","NO","CURRENT_TIMESTAMP",,"2026-01-10T08:10:45.334329"
"scholar","10","update_time","timestamp without time zone","NO","CURRENT_TIMESTAMP",,"2026-01-10T08:10:45.334329"
"scholar","11","is_deleted","boolean","NO","false",,"false"
"scholar","12","etl_job_id","character varying(50)","YES",,,"JOB_SCHOLAR_20260110_081044"
"scholar_coauthor","1","scholar_id","character varying(64)","NO",,"学者ID (Original: sci_scholar_coop_author.scholar_id)","63e1b2f4abaea0c5be3ada7e41399673"
"scholar_coauthor","2","coauthor_name","character varying(255)","NO",,"合作者姓名 (Original: sci_scholar_coop_author.author, ES: _source.COOPERATE_AUTHOR)","Luthe Dawn S."
"scholar_country","1","scholar_id","character varying(64)","NO",,"学者ID (Original: sci_scholar_country.scholar_id, sci_scholar_country_chn.scholar_id)","11a37cf065516d105f57087f1e81cb30"
"scholar_country","2","country_name","character varying(255)","NO",,"国家名称 (Original: sci_scholar_country.country, sci_scholar_country_chn.country, ES: _source.COUNTRY, _source.COUNTRY_CHN)","美国"
"scholar_country","3","language_tag","character varying(10)","NO",,"语言 (Logic: ETL来源区分 EN/ZH)","ZH"
"scholar_fund","1","scholar_id","character varying(64)","NO",,"学者ID (Original: sci_scholar_fund.scholar_id)","aaa1d26dad92ed750051da6018cc26ea"
"scholar_fund","2","fund_name","character varying(500)","NO",,"基金名称 (Original: sci_scholar_fund.fund, ES: _source.FUND)","South Valley University"
"scholar_keyword","1","scholar_id","character varying(64)","NO",,"学者ID (Original: sci_scholar_keyword.scholar_id)","15d912f7ed5c557fdf88df125e6b6fe5"
"scholar_keyword","2","keyword","character varying(255)","NO",,"关键词 (Original: sci_scholar_keyword.keyword, ES: _source.KEYWORD)","OTITIS-MEDIA"
"scholar_organization","1","scholar_id","character varying(64)","NO",,"学者ID (Original: sci_scholar_org.scholar_id, sci_scholar_org_chn.scholar_id)","e1ede9239ba69e296d892600c511ebd2"
"scholar_organization","2","org_name","character varying(500)","NO",,"机构名称 (Original: sci_scholar_org.org_name, sci_scholar_org_chn.org_name, ES: _source.ORG, _source.ORG_CHN)","奥卢大学"
"scholar_organization","3","language_tag","character varying(10)","NO",,"语言 (Logic: ETL来源区分 EN/ZH)","ZH"
"scholar_subject","1","scholar_id","character varying(64)","NO",,"学者ID (Original: sci_scholar_subject_classification.scholar_id, sci_scholar_subject_classification_chn.scholar_id)","a694c1d7106ead3e707c84eaad933f77"
"scholar_subject","2","subject_name","character varying(255)","NO",,"学科名称 (Original: sci_scholar_subject_classification.classification, sci_scholar_subject_classification_chn.classification, ES: _source.CATE, _source.CATE_CHN)","施工和建筑技术"
"scholar_subject","3","language_tag","character varying(10)","NO",,"语言 (Logic: ETL来源区分 EN/ZH)","ZH"
