"table_name","col_order","column_name","data_type","is_nullable","column_default","column_comment","example_value"
"standard","1","id","character varying(64)","NO",,"主键 (Original: standard.standard_id, ES: _source.ID)","BZ000000623589"
"standard","2","external_id","character varying(64)","YES",,"外部ID (Original: standard.f_id, ES: _source.F_ID)","9876715"
"standard","3","db_source_id","character varying(64)","YES",,"来源库标识 (Original: standard.dbid, ES: _source.DBID)","ISO"
"standard","4","standard_number","character varying(255)","YES",,"标准编号 (Original: standard.standard_sn, ES: _source.SN)","ISO 17707-2005"
"standard","5","standard_level","character varying(100)","YES",,"标准水平 (Original: standard.standard_level, ES: _source.SLEVEL)","A"
"standard","6","standard_type","character varying(100)","YES",,"标准类型 (Original: standard.type, ES: _source.TYPE)","国外标准"
"standard","7","standard_group","character varying(255)","YES",,"标准分组 (Original: standard.standard_group, ES: _source.STANDARD_GROUP)","国际标准化组织标准"
"standard","8","status","character varying(50)","YES",,"状态 (Original: standard.status, ES: _source.STATUS)","现行"
"standard","9","record_status","character varying(50)","YES",,"记录状态 (Original: standard.record_status, ES: _source.RSTUTS)","A"
"standard","10","title","character varying(1000)","YES",,"中文标题 (Original: standard.title_zh, ES: _source.TI)","鞋靴.外底的试验方法.抗弯性"
"standard","11","title_en","character varying(1000)","YES",,"英文标题 (Original: standard.title_en, ES: _source.TIE)","Footwear - Test methods for outsoles - Flex resistance"
"standard","12","title_original","character varying(1000)","YES",,"原文标题 (Original: standard.title_original, ES: _source.TIO)","Qualité de l'eau. Application de la spectrométrie de masse avec plasma ů couplage inductif (ICP-MS). Partie 2 : dosage de 62 éléments"
"standard","13","abstract","text","YES",,"摘要 (Original: standard.abstract, ES: _source.ABSTRACT)","This European Standard specifies a method for determining the flex resistance of outsoles. This method is intended to assess the effect of sole materials and surface patterns on cut growth. This method is applied to outsoles that, in accordance with the test mentioned in Clause 6, have a maximum longitudinal rigidity of 30 N. NOTE The method described in this standard is based on the method for the determination of the flex resistance for outsoles described in EN ISO 20344."
"standard","14","remark","text","YES",,"附注 (Original: standard.memo, ES: _source.MEMO)","Eingeschränkter sachlicher Geltungsbereich in Abschnitt 1 (Anwendungsbereich)."
"standard","15","modification_desc","text","YES",,"修改说明 (Original: standard.revise, ES: _source.REVISE)",
"standard","16","ccs_code","character varying(100)","YES",,"中国标准分类号 (Original: standard.sid, ES: _source.SID)","Y78"
"standard","17","ccs_code_alt","character varying(100)","YES",,"中国标准分类号-副 (Original: standard.fsid, ES: _source.FSID)","YE"
"standard","18","ics_code","character varying(100)","YES",,"国际标准分类号 (Original: standard.isid, ES: _source.ISID)","61.060"
"standard","19","udc_code","character varying(100)","YES",,"UDC分类号 (Original: standard.udc, ES: _source.UDC)","['621.884;744.4;629.7']"
"standard","20","clc_code","character varying(100)","YES",,"中图分类号 (Original: standard.cid, ES: _source.CID)","TS943"
"standard","21","publish_date_raw","character varying(50)","YES",,"发布日期 (Original: standard.issue_date, ES: _source.ISSDATE)","2005-07-01"
"standard","22","implementation_date_raw","character varying(50)","YES",,"实施日期 (Original: standard.implementation_date, ES: _source.IMPDATE)","2005-04-20"
