"table_name","col_order","column_name","data_type","is_nullable","column_default","column_comment","example_value"
"university","1","id","character varying(64)","NO",,"主键 (Original: university.university_id, ES: _source.ID)","LK509268"
"university","2","external_id","character varying(64)","YES",,"外部ID (Original: university.f_id, ES: _source.F_ID)","2672"
"university","3","org_code","character varying(64)","YES",,"组织机构代码 (Original: university.org_id, ES: _source.ORGID)","LK509268"
"university","4","name","character varying(255)","YES",,"学校名称 (逻辑: 从 university_name 表清洗聚合, ES: _source.NAME)","安溪茶业职业技术学校"
"university","5","description","text","YES",,"简介 (Original: university.introduction, ES: _source.INTRO)","该校是全国乌龙茶专业人才培养基地，福建省茶产业技工培养、涉茶职业资格与高技能人才培训考核、紧缺专业人才培训等基地，是“全国实践教育活动先进学校”、“全国科教兴农先进学校”、“全国农村综合教育改革先进单位”、“全国百强特色学校暨十佳示范学校”，是全省首批、安溪第一的省部级重点职校。学校常年开展茶叶茶艺、电子电工、计算机、电脑财会、通信营销等专业的学历教育与非全日制教育(涉茶专业三年全免学费)；每月开展一期评茶师(员)、茶艺师、茶叶加工工、电工等职业工种的资格鉴定认证。学生于2009年参加茶艺技能大赛，获得市级第一名、省级第二名、全国第三名；2010年囊括全市茶艺技能大赛前三名，并获2个省级二等奖；2011年获得市级茶艺技能大赛一、二等奖。2012年参加福建省首届职业院校(中职组)手工制茶技能竞赛囊括乌龙茶项目前三名，获得绿茶项目二、三等奖，红茶项目二等奖；参加全国比赛，获得1个二等奖、2个三等奖。2013年参加全国职业院校(中职组)手工制茶技能竞赛获得青茶类(乌龙茶)第一名。"
"university","6","school_type","character varying(100)","YES",,"办学类型 (Original: university.school_type, ES: _source.STYPE)","中等专业学校"
"university","7","school_level","character varying(100)","YES",,"办学层次 (Original: university.school_level, ES: _source.LEVELS)","中专"
"university","8","institution_category","character varying(100)","YES",,"院校类型 (Original: university.college_type, ES: _source.COLLEGETYPE)","工科"
"university","9","principal_name","character varying(100)","YES",,"负责人姓名 (Original: university.responsible_person_name, ES: _source.PERSONNAME)","李瑞章"
"university","10","principal_position","character varying(100)","YES",,"负责人职务 (Original: university.responsible_person_position, ES: _source.PERSONJOB)","校长"
"university","11","principal_raw","character varying(255)","YES",,"负责人原始串 (Original: university.responsible_person, ES: _source.PERSON)","^A李瑞章^B校长"
"university","12","student_count","integer","YES",,"在校人数 (Original: university.number_of_student, ES: _source.GROSS)","5342"
"university","13","staff_count","integer","YES",,"教职工数 (Original: university.number_of_staff, ES: _source.TECHS)","138"
"university","14","floor_area_sqm","numeric(18,2)","YES",,"占地面积(㎡) (Original: university.floor_area, ES: _source.SPACE)","74667.04"
"university","15","evaluation_score","numeric(10,2)","YES",,"综合评分 (Original: university.index_score, ES: _source.MARK)","15.60"
"university","16","is_fpd","character varying(10)","YES",,"是否有博士点 (Original: university.fpd, ES: _source.FPD)","Y"
"university","17","department_setup","text","YES",,"院系设置 (Original: university.teaching_institution, ES: _source.STR)","^A通信工程系%^A电子信息工程系%^A人文社会科学教学部%^A行政管理系%^A信息安全系%^A基础学科教学部%^A计算机及科学与技术系"
"university","18","key_disciplines","text","YES",,"重点学科 (Original: university.key_discipline, ES: _source.KEYDIS)","^A药理学^B二级学科省重点学科^C31047%^A劳动卫生与环境卫生学^B二级学科省重点学科^C33057%^A内科学^B二级学科省重点学科^C32024%^A外科学^B二级学科省重点学科^C32027%^A生物化学与分子生物学^B二级学科省重点学科^C18037"
"university","19","featured_college","text","YES",,"特色学院 (Original: university.feature_college, ES: _source.FEATURECOLLEGE)","国家级重点中等职业学校^B中国教育部"
"university","20","affiliated_schools","text","YES",,"附属学校 (Original: university.sub_school, ES: _source.SUBSCHL)","吉林动画学院"
"university","21","special_qualifications","text","YES",,"资质认定 (Original: university.special_school_qualification, ES: _source.SPESCHL)","^A国家级重点中等职业学校^B中国教育部"
"university","22","history","text","YES",,"历史沿革 (Original: university.history, ES: _source.HISTORY)","^A200810^B德州信息工程职业中等专业学校,由德州计算机信息技术学校、德城区电大合并组建。"
"university","23","campus_list","text","YES",,"校区列表 (Original: university.campus_list, ES: _source.CAMPUS)","^A广州市黄埔职业技术学校分校区"
"university","24","website_url","character varying(1024)","YES",,"官网URL (Original: university.url, ES: _source.URL)","http://www.fjaxcx.cn/"
"university","25","address","character varying(500)","YES",,"地址 (Original: university.address, ES: _source.ADDR)","福建省泉州市安溪县虎邱镇湖丘街130号"
"university","26","contact_phone","character varying(100)","YES",,"联系电话 (Original: university.tel, ES: _source.TEL)","23421688"
"university","27","contact_email","character varying(255)","YES",,"联系邮箱 (Original: university.email, ES: _source.EMAIL)","hpzx_88@163.com"
"university","28","fax_number","character varying(100)","YES",,"传真 (Original: university.fax, ES: _source.FAX)","2225937"
"university","29","postal_code","character varying(20)","YES",,"邮编 (Original: university.postal_code, ES: _source.ZIP)","362435"
"university","30","phone_area_code","character varying(20)","YES",,"电话区号 (Original: university.area_code, ES: _source.ACODE)","0595"
"university","31","region_code","character varying(20)","YES",,"行政区划代码 (Original: university.region_admin_division_code, ES: _source.REGION)","350524"
"university","32","province_code","character varying(20)","YES",,"省代码 (Original: university.sheng_admin_division_code, ES: _source.SHENGCODE)","350000"
"university","33","province_name","character varying(100)","YES",,"省名 (Original: university.province, ES: _source.PROVINCE)","福建省"
"university","34","city_code","character varying(20)","YES",,"市代码 (Original: university.shi_admin_division_code, ES: _source.SHICODE)","350500"
"university","35","city_name","character varying(100)","YES",,"市名 (Original: university.city, ES: _source.CITY)","泉州市"
"university","36","district_code","character varying(20)","YES",,"区县代码 (Original: university.xian_admin_division_code, ES: _source.XIANCODE)","350524"
"university","37","district_name","character varying(100)","YES",,"区县名 (Original: university.county, ES: _source.COUNTY)","安溪县"
"university","38","competent_department","character varying(255)","YES",,"主管单位 (Original: university.competent_unit, ES: _source.COMPUNIT)","中央办公厅"
"university","39","create_time","timestamp without time zone","NO","CURRENT_TIMESTAMP","入库时间 (默认: NOW())","2026-01-08T18:51:51.139699"
"university","40","update_time","timestamp without time zone","NO","CURRENT_TIMESTAMP","更新时间 (默认: NOW())","2026-01-08T18:51:51.139699"
"university","41","is_deleted","boolean","NO","false","逻辑删除 (默认: FALSE)","false"
"university","42","etl_job_id","character varying(50)","YES",,"ETL任务批次","MIGRATE_V1_20260108"
"university_alias","1","university_id","character varying(64)","NO",,"关联主表ID (Original: university_name.university_id)","LK509268"
"university_alias","2","alias_name","character varying(255)","NO",,"别名/常用名 (Original: university_name.name, ES: _source.ACNAME/_source.NAME)","安溪茶业职业技术学校"
"university_former_name","1","university_id","character varying(64)","NO",,"关联主表ID (Original: university_former_name.university_id)","GXT06688"
"university_former_name","2","former_name","character varying(255)","NO",,"曾用名 (Original: university_former_name.former_name, ES: _source.OLDNAME)","苏州大学职业技术学院"
"university_region_rel","1","university_id","character varying(64)","NO",,"关联主表ID (Original: university_area_code.university_id)","LK509268"
"university_region_rel","2","region_code","character varying(20)","NO",,"地区代码 (Original: university_area_code.area_code, ES: _source.AREACODE)","350524"
"university_tag","1","university_id","character varying(64)","NO",,"关联主表ID (Original: university_tag.university_id)","LK509268"
"university_tag","2","tag_name","character varying(100)","NO",,"标签名称 (Original: university_tag.tag, ES: _source.TAGS)","中等专业学校"
